equipment_id,part_id,part_name,part_path,image
16566,2752688,65QK Turbocharger ( - 000379),0400 Engine 6068HTJ87 6068HTJ87 > ST818296 - 65QK Turbocharger ( - 000379),RE527858_16566_2752688.png
16566,2926140,2001 Water Pump Pulley,0400 Engine 6068HTJ87 6068HTJ87 > ST35375 - 2001 Water Pump Pulley,RE527858_16566_2926140.png
