model_id,model_code,model_name,model_full_name
17706,6068DW401,"6068DW401 - LOADER, FOUR-WHEEL DRIVE",524K-II Loader (PIN: 1DW524K_ _ _F677549-909519) Engine 6068DW401 - PC15081
17586,524L,"524L - LOADER, FOUR-WHEEL DRIVE",524L Loader (PIN: 1DW524L_ _ _F693054-710429) - PC15258
17711,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE",524L Loader (PIN: 1DW524L_ _ _F693054-710429) - PC15258
17605,544 P,"544 P - LOADER, FOUR-WHEEL DRIVE",544 P 4WD Loader (PIN: 1DW544PA_ _L_18490-25721) - PC15492
17716,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE",544 P 4WD Loader (PIN: 1DW544PA_ _L_18490-25721) - PC15492
17604,544 P,"544 P - LOADER, FOUR-WHEEL DRIVE","544 P-tier, Gen-A 4WD Loader (PIN: 1DW544PA_ _L_10283-18489) - PC15399"
17714,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE","544 P-tier, Gen-A 4WD Loader (PIN: 1DW544PA_ _L_10283-18489) - PC15399"
17625,544K,"544K - LOADER, FOUR-WHEEL DRIVE",544K Loader (PIN: 1DW544K_ _ _F670308-677548) Engine 6068HDW92 - PC11368
17834,6068HDW92,"6068HDW92 - LOADER, FOUR-WHEEL DRIVE",544K Loader (PIN: 1DW544K_ _ _F670308-677548) Engine 6068HDW92 - PC11368
17619,544K-II,"544K-II - LOADER, FOUR-WHEEL DRIVE",544K-II Loader (PIN: 1DW544K_ _ _D677549-909519) Engine 6068HDW74 - PC15091
17773,6068HDW74,"6068HDW74 - LOADER, FOUR-WHEEL DRIVE",544K-II Loader (PIN: 1DW544K_ _ _D677549-909519) Engine 6068HDW74 - PC15091
17618,544K-II,"544K-II - LOADER, FOUR-WHEEL DRIVE",544K-II Loader (PIN: 1DW544K_ _ _F677549-909519) Engine 6068DW401 - PC15082
17707,6068DW401,"6068DW401 - LOADER, FOUR-WHEEL DRIVE",544K-II Loader (PIN: 1DW544K_ _ _F677549-909519) Engine 6068DW401 - PC15082
17627,544L,"544L - LOADER, FOUR-WHEEL DRIVE",544L Loader (PIN: 1DW544L_ _ _F693054-710429) - PC15259
17712,6068DW501,"6068DW501 - LOADER, FOUR-WHEEL DRIVE",544L Loader (PIN: 1DW544L_ _ _F693054-710429) - PC15259
